Harvest_Month,Harvest_Year,Variety
Jun,2018,LRA
Jun,2018,H-4(A) 27mm FIne
Jul,2018,Other
Aug,2018,Varaxmi
Aug,2018,H-4(A) 27mm FIne
Sep,2018,LRA
Sep,2018,H-4(A) 27mm FIne
Sep,2018,DCH-32(Unginned)
Oct,2018,LRA
Oct,2018,H-4(A) 27mm FIne
Nov,2018,LRA
Nov,2018,Varaxmi
Nov,2018,Desi
Nov,2018,H-4(A) 27mm FIne
Nov,2018,DCH-32(Unginned)
Nov,2018,N-44
Nov,2018,Other
Dec,2018,Varaxmi
Dec,2018,H-4(A) 27mm FIne
Jan,2019,H-4(A) 27mm FIne
Feb,2019,H-4(A) 27mm FIne
Mar,2019,Varaxmi
Mar,2019,Desi
Mar,2019,H-4(A) 27mm FIne
Mar,2019,N-44
Mar,2019,DCH-32(Unginned)
Mar,2019,LRA
Apr,2019,LRA
Apr,2019,H-4(A) 27mm FIne
